scientificName,lon,lat
Trichechus manatus,-81.35336,28.9745
Trichechus manatus,-82.58928,28.79959
Trichechus manatus,-80.920486,25.144333
Trichechus manatus,-80.250877,25.794595
Trichechus manatus,-81.21243,28.80192
Trichechus manatus,-82.196797,26.548605
Trichechus manatus,-81.785577,26.085165
Trichechus manatus,-81.924257,26.551464
Trichechus manatus,-81.860451,26.414469
Trichechus manatus,-80.131647,25.759465
Trichechus manatus,-80.26914,25.728055
Trichechus manatus,-80.181278,26.088621
Trichechus manatus,-82.086057,26.685095
Trichechus manatus,-82.590915,28.798718
Trichechus manatus,-82.711737,28.959395
Trichechus manatus,-80.79295,28.62413
Trichechus manatus,-81.464413,25.889647
Trichechus manatus,-80.08143,26.305918
Trichechus manatus,-80.434169,25.233801
Trichechus manatus,-81.507708,25.955002
Trichechus manatus,-80.754907,28.469315
Trichechus manatus,-80.77692,28.52709
Trichechus manatus,-80.733397,28.542162
Trichechus manatus,-80.330767,25.461635
Trichechus manatus,-81.619999,30.352064
Trichechus manatus,-80.608157,28.200715
Trichechus manatus,-81.73312,26.02678
Trichechus manatus,-82.419743,27.79287
Trichechus manatus,-82.313265,27.870834
Trichechus manatus,-82.690378,28.809
Trichechus manatus,-80.450445,27.848674
Trichechus manatus,-80.105146,26.156328
Trichechus manatus,-81.6076,30.22284
Trichechus manatus,-80.079477,26.959715
Trichechus manatus,-82.633886,27.901904
Trichechus manatus,-82.21331,26.598291
Trichechus manatus,-82.414217,27.793495
Trichechus manatus,-81.195617,29.630251
Trichechus manatus,-80.189647,26.072705
Trichechus manatus,-81.966947,26.532044
Trichechus manatus,-80.079866,26.287539
Trichechus manatus,-80.59074,28.01833
Trichechus manatus,-75.17,19.91
Trichechus manatus,-80.84948,28.89582
Trichechus manatus,-80.7318,28.48351
Trichechus manatus,-80.18354,26.08305
Trichechus manatus,-81.509289,25.940248
Trichechus manatus,-80.079485,26.257583
Trichechus manatus,-80.929677,25.325836
Trichechus manatus,-81.632683,30.392633
Trichechus manatus,-82.736059,29.013109
Trichechus manatus,-80.267087,25.720465
Trichechus manatus,-82.402627,27.793335
Trichechus manatus,-82.22789,26.62758
Trichechus manatus,-82.590855,28.798721
Trichechus manatus,-82.432928,27.779529
Trichechus manatus,-80.504157,27.892515
Trichechus manatus,-82.43219,27.772795
Trichechus manatus,-81.981931,26.527
Trichechus manatus,-82.635563,28.521646
Trichechus manatus,-80.072127,26.384155
Trichechus manatus,-81.341379,28.943364
Trichechus manatus,-81.339295,28.946601
